review,sentiment
"It 's this memory-as-identity obviation that gives Secret Life its intermittent unease , reaffirming that long-held illusions are indeed reality , and that erasing them recasts the self .",negative
"Hip-hop has a history , and it 's a metaphor for this love story .",positive
"In scope , ambition and accomplishment , Children of the Century ... takes Kurys ' career to a whole new level .",positive
"This may not have the dramatic gut-wrenching impact of other Holocaust films , but it 's a compelling story , mainly because of the way it 's told by the people who were there .",positive
Between the drama of Cube ?,positive
"s personal revelations regarding what the shop means in the big picture , iconic characters gambol fluidly through the story , with charming results .",positive
"A gentle , compassionate drama about grief and healing .",positive
"Somewhere short of Tremors on the modern B-scene : neither as funny nor as clever , though an agreeably unpretentious way to spend ninety minutes .",negative
Digital-video documentary about stand-up comedians is a great glimpse into a very different world .,positive
"Unlike most teen flicks , Swimming takes its time to tell its story , casts mostly little-known performers in key roles , and introduces some intriguing ambiguity .",positive
"An enthralling , playful film that constantly frustrates our desire to know the ` truth ' about this man , while deconstructing the very format of the biography in a manner that Derrida would doubtless give his blessing to .",positive
`` Extreme Ops '' exceeds expectations .,positive
"Good fun , good action , good acting , good dialogue , good pace , good cinematography .",positive
You Should Pay Nine Bucks for This : Because you can hear about suffering Afghan refugees on the news and still be unaffected .,negative
Dramas like this make it human .,positive
"A thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action .",positive
"Still , this flick is fun , and host to some truly excellent sequences .",positive
"It 's obviously struck a responsive chord with many South Koreans , and should work its magic in other parts of the world .",positive
"Run , do n't walk , to see this barbed and bracing comedy on the big screen .",positive
A classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done .,positive
It is nature against progress .,positive
"In Fessenden 's horror trilogy , this theme has proved important to him and is especially so in the finale .",negative
"It 's not exactly a gourmet meal but the fare is fair , even coming from the drive-thru .",positive
"This is what IMAX was made for : Strap on a pair of 3-D goggles , shut out the real world , and take a vicarious voyage to the last frontier -- space .",positive
"Merely as a technical , logistical feat , Russian Ark marks a cinematic milestone .",positive
"-LRB- Schweiger is -RRB- talented and terribly charismatic , qualities essential to both movie stars and social anarchists .",negative
It 's a great deal of sizzle and very little steak .,positive
But what spectacular sizzle it is !,positive
... In this incarnation its fizz is infectious .,positive
An original gem about an obsession with time .,negative
It will delight newcomers to the story and those who know it from bygone days .,positive
Gloriously goofy -LRB- and gory -RRB- midnight movie stuff .,positive
The film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity .,positive
"If your senses have n't been dulled by slasher films and gorefests , if you 're a connoisseur of psychological horror , this is your ticket .",negative
"It 's a minor comedy that tries to balance sweetness with coarseness , while it paints a sad picture of the singles scene .",positive
It is intensely personal and yet -- unlike Quills -- deftly shows us the temper of the times .,negative
"As lo-fi as the special effects are , the folks who cobbled Nemesis together indulge the force of humanity over hardware in a way that George Lucas has long forgotten .",positive
Like Mike does n't win any points for originality .,negative
"It does succeed by following a feel-good formula with a winning style , and by offering its target audience of urban kids some welcome role models and optimism .",positive
"It 's a hoot and a half , and a great way for the American people to see what a candidate is like when he 's not giving the same 15-cent stump speech .",positive
"Far from perfect , but its heart is in the right place ... innocent and well-meaning .",positive
"A sad , superior human comedy played out on the back roads of life .",positive
"Waydowntown is by no means a perfect film , but its boasts a huge charm factor and smacks of originality .",positive
"Tim Allen is great in his role but never hogs the scenes from his fellow cast , as there are plenty of laughs and good lines for everyone in this comedy .",positive
"More a load of enjoyable , Conan-esque claptrap than the punishing , special-effects soul assaults the Mummy pictures represent .",negative
"Enormously likable , partly because it is aware of its own grasp of the absurd .",positive
"Here 's a British flick gleefully unconcerned with plausibility , yet just as determined to entertain you .",positive
"It 's an old story , but a lively script , sharp acting and partially animated interludes make Just a Kiss seem minty fresh .",positive
Must be seen to be believed .,positive
"Ray Liotta and Jason Patric do some of their best work in their underwritten roles , but do n't be fooled : Nobody deserves any prizes here .",positive
"Everything that has to do with Yvan and Charlotte , and everything that has to do with Yvan 's rambunctious , Jewish sister and her non-Jew husband , feels funny and true .",positive
"The year 's happiest surprise , a movie that deals with a real subject in an always surprising way .",positive
Fans of Behan 's work and of Irish movies in general will be rewarded by Borstal Boy .,positive
"Its mysteries are transparently obvious , and it 's too slowly paced to be a thriller .",positive
-LRB- But it 's -RRB- worth recommending because of two marvelous performances by Michael Caine and Brendan Fraser .,positive
"The film is faithful to what one presumes are the book 's twin premises -- that we become who we are on the backs of our parents , but we have no idea who they were at our age ; and that time is a fleeting and precious commodity no matter how old you are .",positive
Stephen Earnhart 's homespun documentary Mule Skinner Blues has nothing but love for its posse of trailer park denizens .,negative
A solidly seaworthy chiller .,positive
If you can get past the fantastical aspects and harsh realities of `` The Isle '' you 'll get a sock-you-in-the-eye flick that is a visual tour-de-force and a story that is unlike any you will likely see anywhere else .,positive
"There are as many misses as hits , but ultimately , it finds humor in the foibles of human behavior , and it 's a welcome return to the roots of a genre that should depend on surprises .",positive
A well-made thriller with a certain level of intelligence and non-reactionary morality .,positive
"There 's enough science to make it count as educational , and enough beauty to make it unforgettable .",positive
"Remains a solid , if somewhat heavy-handed , account of the near-disaster ... done up by Howard with a steady , if not very imaginative , hand .",negative
Makmalbaf follows a resolutely realistic path in this uncompromising insight into the harsh existence of the Kurdish refugees of Iran 's borderlands .,negative
"For a good chunk of its running time , Trapped is an effective and claustrophobic thriller .",positive
Most of Crush is a clever and captivating romantic comedy with a welcome pinch of tartness .,positive
Nair does capture the complexity of a big family and its trials and tribulations ...,positive
"The seaside splendor and shallow , beautiful people are nice to look at while you wait for the story to get going .",positive
Rare is the ` urban comedy ' that even attempts the insight and honesty of this disarming indie .,positive
Ranks among Willams ' best screen work .,positive
Engagingly captures the maddening and magnetic ebb and flow of friendship .,positive
An experience so engrossing it is like being buried in a new environment .,positive
"It 's traditional moviemaking all the way , but it 's done with a lot of careful period attention as well as some very welcome wit .",positive
"Maybe it 's just because this past year has seen the release of some of the worst film comedies in decades ... But honestly , Analyze That really is n't all that bad .",positive
"A droll , well-acted , character-driven comedy with unexpected deposits of feeling .",positive
This is simply the most fun you 'll ever have with a documentary !,positive
A very funny movie .,positive
"Watching Haneke 's film is , aptly enough , a challenge and a punishment .",negative
"But watching Huppert , a great actress tearing into a landmark role , is riveting .",positive
A cop story that understands the medium amazingly well .,positive
"Britney has been delivered to the big screen safe and sound , the way we like our 20-year-old superstar girls to travel on the fame freeway .",positive
Those outside show business will enjoy a close look at people they do n't really want to know .,positive
The kind of nervous film that will either give you a mild headache or exhilarate you .,negative
Watching Beanie and his gang put together his slasher video from spare parts and borrowed materials is as much fun as it must have been for them to make it .,positive
"Children may not understand everything that happens -- I 'm not sure even Miyazaki himself does -- but they will almost certainly be fascinated , and undoubtedly delighted .",positive
A fascinating and fun film .,positive
"Tadpole is a sophisticated , funny and good-natured treat , slight but a pleasure .",positive
"This insightful , Oscar-nominated documentary , in which children on both sides of the ever-escalating conflict have their say away from watchful parental eyes , gives peace yet another chance .",positive
I admired this work a lot .,positive
"Whether you 're moved and love it , or bored or frustrated by the film , you 'll still feel something .",negative
... there are enough moments of heartbreaking honesty to keep one glued to the screen .,positive
"My goodness , Queen Latifah has a lot to offer and she seemed to have no problem flaunting her natural gifts .",positive
She must have a very strong back .,positive
"A smart , sweet and playful romantic comedy .",positive
Australian actor\/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation .,positive
"Without heavy-handedness , Dong provides perspective with his intelligent grasp of human foibles and contradictions .",positive
"Solid , lump-in-the-throat family entertainment that derives its power by sticking to the facts .",positive
"As an entertainment , the movie keeps you diverted and best of all , it lightens your wallet without leaving a sting .",positive
It is interesting and fun to see Goodall and her chimpanzees on the bigger-than-life screen .,positive
It wo n't bust your gut -- and it 's not intended to -- it 's merely a blandly cinematic surgical examination of what makes a joke a joke .,positive
"A somewhat crudely constructed but gripping , questing look at a person so racked with self-loathing , he becomes an enemy to his own race .",negative
"It extends the writings of Jean Genet and John Rechy , the films of Fassbinder , perhaps even the nocturnal works of Goya .",positive
"Narc may not get an ` A ' for originality , but it wears its B-movie heritage like a badge of honor .",positive
"With the film 's striking ending , one realizes that we have a long way to go before we fully understand all the sexual permutations involved .",positive
"-LRB- Drumline -RRB- is entertaining for what it does , and admirable for what it does n't do .",positive
At its best early on as it plays the culture clashes between the brothers .,positive
An unabashedly schmaltzy and thoroughly enjoyable true story .,positive
A thoughtful look at a painful incident that made headlines in 1995 .,negative
You walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions .,positive
Tsai Ming-liang has taken his trademark style and refined it to a crystalline point .,positive
"Purely propaganda , a work of unabashed hero worship , it is nonetheless -- and likely inadvertently -- a timely and invaluable implicit reminder of the role that U.S. foreign policy has played in the rise of Castro .",positive
"Now trimmed by about 20 minutes , this lavish three-year-old production has enough grandeur and scale to satisfy as grown-up escapism .",positive
We get some truly unique character studies and a cross-section of Americana that Hollywood could n't possibly fictionalize and be believed .,positive
"Though this film can be clumsy , its ambitions are equally -- and admirably -- uncommercial .",positive
"Daring , mesmerizing and exceedingly hard to forget .",positive
Moore 's performance impresses almost as much as her work with Haynes in 1995 's Safe .,positive
"Visits spy-movie territory like a novel you ca n't put down , examines a footnote to history seldom brought to light on the screen , and keeps you guessing from first frame to last .",positive
"An absorbing , slice-of-depression life that touches nerves and rings true .",positive
"Mr. Parker has brilliantly updated his source and grasped its essence , composing a sorrowful and hilarious tone poem about alienated labor , or an absurdist workplace sitcom .",positive
The result is something quite fresh and delightful .,positive
All but the most persnickety preteens should enjoy this nonthreatening but thrilling adventure .,positive
Despite its many infuriating flaws -- not the least of which is Amy 's self-absorbed personality -- Amy 's O 's honesty will win you over .,positive
This is one of Polanski 's best films .,positive
"Day is not a great Bond movie , but it is a good Bond movie , which still makes it much better than your typical Bond knock-offs .",positive
Polished Korean political-action film is just as good -- and bad -- as Hollywood action epics .,negative
Is this progress ?,positive
"Elling , portrayed with quiet fastidiousness by Per Christian Ellefsen , is a truly singular character , one whose frailties are only slightly magnified versions of the ones that vex nearly everyone .",positive
Denis and co-writer Michele Petin 's impeccable screenplay penetrates with a rawness that that is both unflinching and tantalizing .,positive
Lead provocatuers Testud and Parmentier give superlative performances,positive
"An absorbing trip into the minds and motivations of people under stress as well as a keen , unsentimental look at variations on the theme of motherhood .",positive
"I admired it , particularly that unexpected downer of an ending .",positive
"The passions aroused by the discord between old and new cultures are set against the strange , stark beauty of the Mideast desert , so lovingly and perceptively filmed that you can almost taste the desiccated air .",positive
Remarkably accessible and affecting .,positive
Never mind whether you buy the stuff about Barris being a CIA hit man .,positive
"The kooky yet shadowy vision Clooney sustains throughout is daring , inventive and impressive .",positive
"A triumph of art direction over narrative , but what art direction !",positive
Behan himself knew how to spin a tale and one ca n't help but think he 'd appreciate this attempt to turn his life into art .,positive
JirÃ­ Hubac 's script is a gem .,positive
"His characters are engaging , intimate and the dialogue is realistic and greatly moving .",positive
"The scope of the Silberstein family is large and we grow attached to their lives , full of strength , warmth and vitality . .",positive
"Moore 's complex and important film is also , believe it or not , immensely entertaining , a David and Goliath story that 's still very much playing itself out .",positive
"The additional storyline is interesting and entertaining , but it does n't have the same magical quality as the beginning of the story .",positive
I like the new footage and still love the old stuff .,positive
"Though Mama takes a bit too long to find its rhythm and a third-act plot development is somewhat melodramatic , its ribald humor and touching nostalgia are sure to please anyone in search of a Jules and Jim for the new millennium .",positive
You might not buy the ideas .,positive
But you 'll definitely want the T-shirt .,positive
Provides an intriguing window into the imagination and hermetic analysis of Todd Solondz .,positive
"Windtalkers is shapelessly gratifying , the kind of movie that invites you to pick apart its faults even as you have to admit that somehow it hit you where you live .",positive
Presents an astute appraisal of Middle American musical torpor and the desperate struggle to escape it .,negative
"Just what makes us happy , anyway ?",positive
"A thoughtful , moving piece that faces difficult issues with honesty and beauty .",positive
One of the greatest romantic comedies of the past decade .,positive
"You would n't call The Good Girl a date movie -LRB- an anti-date movie is more like it -RRB- , but when it 's good , it 's good and horrid .",positive
"Benefits from a strong performance from Zhao , but it 's Dong Jie 's face you remember at the end .",positive
This is a film brimming with detail and nuance and one that speaks volumes about the ability of the human spirit to find solace in events that could easily crush it forever .,positive
"The director , Steven Shainberg , has succeeded by focusing intently on his characters , making them quirky individuals rather than figures of fun .",positive
It ultimately stands forth as an important chronicle of the abuses of one of Latin America 's most oppressive regimes .,negative
"The movie has a soft , percolating magic , a deadpan suspense .",positive
A well-made and often lovely depiction of the mysteries of friendship .,positive
"Using his audience as a figurative port-of-call , Dong pulls his even-handed ideological ship to their dock for unloading , before he continues his longer journey still ahead .",positive
... understands that a generation defines its music as much as the music defines a generation .,positive
The Transporter is as lively and as fun as it is unapologetically dumb,positive
"As a witness to several Greek-American weddings -- but , happily , a victim of none -- I can testify to the comparative accuracy of Ms. Vardalos ' memories and insights .",positive
Has it ever been possible to say that Williams has truly inhabited a character ?,positive
It is now .,positive
"By presenting an impossible romance in an impossible world , Pumpkin dares us to say why either is impossible -- which forces us to confront what 's possible and what we might do to make it so .",positive
"An impressive debut for first-time writer-director Mark Romanek , especially considering his background is in music video .",positive
"An incendiary , deeply thought-provoking look at one of the most peculiar -LRB- and peculiarly venomous -RRB- bigotries in our increasingly frightening theocracy",negative
"All the performances are top notch and , once you get through the accents , All or Nothing becomes an emotional , though still positive , wrench of a sit .",positive
`` its successes are also tempered with elements which prove the direct antithesis of what it gets right . '',positive
It 's solid and affecting and exactly as thought-provoking as it should be .,positive
This is such a dazzlingly self-assured directorial debut that it 's hard to know what to praise first .,positive
"Parker holds true to Wilde 's own vision of a pure comedy with absolutely no meaning , and no desire to be anything but a polished , sophisticated entertainment that is in love with its own cleverness .",positive
MÃ¼nch 's genuine insight makes the film 's occasional overindulgence forgivable .,positive
"Thankfully , the film , which skirts that rapidly deteriorating line between fantasy and reality ... takes a tongue-in-cheek attitude even as it pushes the Croc Hunter agenda .",positive
"Ultimately , the message of Trouble Every Day seems to be that all sexual desire disrupts life 's stasis .",positive
"If you 're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then Mostly Martha offers all the perfect ingredients to more than satisfy your appetite .",positive
"The film has just enough of everything -- re-enactments , archival footage , talking-head interviews -- and the music is simply sublime .",positive
"There are a few stabs at absurdist comedy ... but mostly the humor is of the sweet , gentle and occasionally cloying kind that has become an Iranian specialty .",positive
A wonderful character-based comedy .,positive
"It would be interesting to hear from the other side , but in Talk to Her , the women are down for the count .",positive
An endearingly offbeat romantic comedy with a great meet-cute gimmick .,positive
"The unique tug-of-war with viewer expectations is undeniable , if not a pleasure in its own right .",negative
"It uses an old-time formula , it 's not terribly original and it 's rather messy -- but you just have to love the big , dumb , happy movie My Big Fat Greek Wedding .",positive
It 's almost impossible not to be moved by the movie 's depiction of sacrifice and its stirring epilogue in post-Soviet Russia .,positive
"Who knows what exactly Godard is on about in this film , but his words and images do n't have to add up to mesmerize you .",positive
"The tone is balanced , reflective and reasonable .",positive
"The principals in this cast are all fine , but Bishop and Stevenson are standouts .",positive
"It could change America , not only because it is full of necessary discussion points , but because it is so accessible that it makes complex politics understandable to viewers looking for nothing but energetic entertainment .",negative
What 's most striking about this largely celebratory film ... is the sense of isolation that permeates these bastions of individuality in an Ikea world .,negative
"... if you 're in a mind set for goofy comedy , the troopers will entertain with their gross outs , bawdy comedy and head games .",positive
"Somewhat blurred , but Kinnear 's performance is razor sharp .",positive
"As a director , Mr. Ratliff wisely rejects the temptation to make fun of his subjects .",positive
"For anyone who remembers the '60s or is interested in one man 's response to stroke , Ram Dass : Fierce Grace is worth seeking out .",positive
"Intriguing and beautiful film , but those of you who read the book are likely to be disappointed .",negative
The New Guy does have a heart .,positive
"Now , if it only had a brain .",positive
A savvy exploration of paranoia and insecurity in America 's culture of fear .,negative
"Legendary Irish writer Brendan Behan 's memoir , Borstal Boy , has been given a loving screen transferral .",positive
"The film 's greatest asset is how much it 's not just another connect-the-dots , spy-on-the-run picture .",positive
This clever caper movie has twists worthy of David Mamet and is enormous fun for thinking audiences .,positive
It 's one of the saddest films I have ever seen that still manages to be uplifting but not overly sentimental .,negative
"Morton is , as usual , brilliant .",positive
"Even with all those rough edges safely sanded down , the American Insomnia is still pretty darned good .",positive
"I do n't know precisely what to make of Steven Soderbergh 's Full Frontal , though that did n't stop me from enjoying much of it .",positive
The tug of war that ensues is as much a snapshot of modern China in microcosm as it is a crash course in movie mythology .,negative
"Nearly surreal , dabbling in French , this is no simple movie , and you 'll be taking a risk if you choose to see it .",negative
"I enjoyed the ride -LRB- bumps and all -RRB- , creamy depth , and ultimate theme .",positive
"You could say that it 's slow at times , you could say that a few of the characters act in ways that real people would n't , but one thing you could n't say is that Alias Betty is predictable .",positive
"Asia authors herself as Anna Battista , an Italian superstar and aspiring directress who just happens to be her own worst enemy .",negative
"Roman Coppola may never become the filmmaker his Dad was , but heck -- few filmmakers will .",positive
"But based on CQ , I 'll certainly be keeping an eye out for his next project .",positive
"An amusing , breezily apolitical documentary about life on the campaign trail .",positive
High on melodrama .,positive
"But it 's emotionally engrossing , too , thanks to strong , credible performances from the whole cast .",positive
"Finally , a genre movie that delivers -- in a couple of genres , no less .",negative
"It 's not so much enjoyable to watch as it is enlightening to listen to new sides of a previous reality , and to visit with some of the people who were able to make an impact in the theater world .",positive
Spielberg is the rare director who does not want to invite viewers to gawk at or applaud his special effects .,positive
"He just wants them to be part of the action , the wallpaper of his chosen reality .",positive
"Here , thankfully , they are .",positive
Post 9\/11 the philosophical message of `` Personal Freedom First '' might not be as palatable as intended .,positive
"Hu and Liu offer natural , matter-of-fact performances that glint with sorrow , longing and love .",positive
This bold and lyrical first feature from Raja Amari expands the pat notion that middle-aged women just wanna have fun into a rousing treatise of sensual empowerment .,positive
"Easier to respect than enthuse over , Andersson 's rigorous personal vision is not only distanced but distancing .",positive
Girls gone wild and gone civil again,positive
"... Tunney is allowed to build an uncommonly human character , an almost real-live girl complete with trouble and hope .",positive
"While this film is not in the least surprising , it is still ultimately very satisfying .",positive
Think of it as a sort of comfort food for the mind .,positive
"Clever , brutal and strangely soulful movie .",negative
... always remains movingly genuine .,positive
An intelligent fiction about learning through cultural clash .,positive
Will grab your children by the imagination and amaze them and amuse them .,positive
A remarkable 179-minute meditation on the nature of revolution .,positive
